,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{eff}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z
1171,15232980000.0,2256163800.0,113859450000.0,48.669506,0.45849103,88.68762,46.12333,131357470000.0,0.0
1172,13685801000.0,1266218000.0,136524090000.0,46.514126,0.26548335,85.93148,48.290157,151483290000.0,0.0
1173,12656438000.0,3088867600.0,139455280000.0,39.19213,0.47897965,106.66055,53.902367,155210090000.0,0.0
1174,9264929000.0,1982752000.0,139022880000.0,45.960304,0.22149944,88.594505,48.52356,150278950000.0,0.0
1175,9036675000.0,5067583000.0,123850950000.0,33.318356,0.4158118,113.1952,54.672745,137968550000.0,0.0
1176,9641931000.0,151455020.0,80357560000.0,60.888878,0.03975667,57.463,36.94583,90152935000.0,0.0
1177,3201430800.0,184673140.0,27438490000.0,24.02121,0.062348127,55.188885,30.767517,30824595000.0,0.0
1178,13153604000.0,1257496600.0,125390050000.0,47.603043,0.16026892,86.44454,47.746334,139805920000.0,0.0
1179,12697216000.0,369944900.0,87381090000.0,53.071953,0.07050111,66.460915,38.5713,100451566000.0,0.0
1180,13449269000.0,726755840.0,92282450000.0,38.732258,0.11833639,81.385254,43.54748,106462170000.0,0.0
1181,8951271000.0,2807971000.0,143406940000.0,46.928925,0.18092896,97.037865,50.004814,155176850000.0,0.0
1182,3507897600.0,786968700.0,37063356000.0,18.745241,0.14399268,70.72852,40.121914,41358225000.0,0.0
1183,15461047000.0,2076725400.0,124396356000.0,27.15719,0.65142196,108.42995,62.44922,141940110000.0,0.0
1184,14043132000.0,2033136600.0,138541430000.0,40.75211,0.4393839,96.03405,51.17495,154624030000.0,0.0
1185,15573234000.0,1771923100.0,132848740000.0,36.49108,0.39037088,96.67173,52.2488,150200580000.0,0.0
1186,9418571000.0,3812909800.0,147920830000.0,39.71936,0.17082228,104.89601,53.40257,161163580000.0,0.0
1187,956438100.0,193714700.0,6336567000.0,6.398719,0.047986943,50.43498,29.68051,7486719000.0,0.0
1188,12076358000.0,2847593500.0,138427990000.0,40.87467,0.4303359,98.18607,51.805744,153363580000.0,0.0
1189,9193538000.0,2094139500.0,132135450000.0,48.934628,0.16933893,90.214455,49.99013,143431300000.0,0.0
1190,9969278000.0,3608734200.0,143339340000.0,42.71238,0.31753466,106.5167,52.23993,156929250000.0,0.0
1191,6803687400.0,726469060.0,87151040000.0,41.985977,0.092612684,72.812675,38.75637,94685495000.0,0.0
1192,11181772000.0,2407640300.0,140292900000.0,45.880066,0.27187696,90.3462,49.763855,153889570000.0,0.0
1193,17243257000.0,1359072400.0,124860530000.0,37.337723,0.19169116,94.308365,50.74175,143467430000.0,0.0
1194,11387858000.0,782214500.0,80080320000.0,48.26485,0.15186694,69.352585,39.3915,92250380000.0,0.0
1195,18057097000.0,994826200.0,122710240000.0,39.049187,0.1592017,91.6289,49.10853,141766930000.0,0.0
1196,14778856000.0,1592482700.0,126369690000.0,40.278263,0.21189727,93.43919,49.308865,142748580000.0,0.0
1197,12545618000.0,486073060.0,106803240000.0,51.36169,0.12906654,74.9012,43.694736,119838196000.0,0.0
1198,13630176000.0,1672218000.0,113741930000.0,45.51864,0.45099196,85.700874,46.923832,129049920000.0,0.0
1199,13051531000.0,803638460.0,125891450000.0,45.36552,0.39452046,84.31275,47.952816,139752690000.0,0.0
1200,8629625000.0,2393243100.0,153229210000.0,37.127533,0.35182953,106.02159,55.193844,164263660000.0,0.0
